ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B079PT7PCP,"""Nature's Pure Edge Yard Odor Eliminator. Perfect For Artificial Grass  Patio  Kennel  and Lawn. Instantly Removes Stool and Urine Odor. Long Lasting. Kid and Pet Safe.",Nature's Pure Edge,Pet Supplies,"$43,973.94","2,202",$19.97,$8.14,$11.83,"3,674",2488,6,1,02/07/2018,Amazon,4.1,"3.68"" x 3.68"" x 7.00""",Large standard-size,1.88 lbs
B09YTZLRY4,"(100 Pads) CalPalmy Ultra Absorbency Pet Toilet Training Pads 18"" x 13"" Moisture Locking Technology Turns Liquid into Gel - Perfect for Rabbits and Guinea Pigs",CALPALMY,Pet Supplies,"$34,222.88","1,712",$20.99,$6.77,$14.22,"5,079",1419,7,3,04/19/2020,Amazon,4.2,"8.00"" x 5.00"" x 3.00""",Large standard-size,0.4 lbs
B0CL38LKY6,(2 Pack) Hemp Oil for Dogs and Cats - Helps Pets with Anxiety  Pain  Stress  Sleep  Arthritis  Seizures Relief - Cat Anxiety Relief - Omega 3-6-9 - Pet Hemp Oil Drops Treats - Hip and Joint Support,Pawstopia,Pet Supplies,"$33,526.65","1,689",$19.85,$6.52,$13.33,N.A.,2318,6,1,11/28/2021,Amazon,4.2,"4.69"" x 3.39"" x 1.38""",Large standard-size,5.61 lbs
B0C7CDVX7C,(2 Packs) Pet Hemp Oil for Dogs and Cats Anxiety Stress Pain Holistic Inflammation Skin Allergies Relief Joint Hip Аrthritis Sleep Aid Calming Oil Drop  Organic Extract Treats,MaxHemp,Pet Supplies,"$89,719.20","4,080",$19.99,$6.54,$13.45,N.A.,1447.333333,6,2,05/05/2021,Amazon,4.2,"3.86"" x 2.80"" x 1.54""",Large standard-size,5.93 lbs
B0BTNTF37Y,---Pet 'n Shape Chik 'n Wrapped Biscuits – Natural Chicken Wrapped Dog Treats - 35 Ounce,Pet 'n Shape,Pet Supplies,"$35,597.70","2,138",$14.32,$8.93,$5.39,"3,620",2358,6,7,07/31/2016,Amazon,4.6,"7.00"" x 7.00"" x 8.75""",Large standard-size,2 lbs
B0BVD1RL8L,1 Cup Dog Food Scoop for Container Melamine Measuring Scoop for Dogs Cats Birds and Rabbits Pet Food Feeding Scoop Dishwasher Safe - Baby Pink,Super Design,Pet Supplies,"$10,849.14","1,086",$9.99,$5.04,$4.95,"5,582",1077,6,1,05/15/2022,Amazon,4.8,"5.43"" x 6.22"" x 1.73""",Large standard-size,3.21 lbs
B08CHDLMGS,1 Pack 3 Blankets Fluffy Premium Fleece Pet Blanket Soft Sherpa Throw for Dog Puppy Cat Black Medium (30“x20''),Luciphia,Pet Supplies,"$80,005.20","3,480",$22.99,$7.22,$15.77,"2,389",4401.375,6,1,08/14/2022,Amazon,4.4,"15.12"" x 9.92"" x 3.90""",Large standard-size,8 lbs
B0C6D792FY,1 Pack 3 Blankets for Dogs Blankets for Large Dogs Large Dog Blanket Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Paw Beige Blanket(41x31 inch),Rezutan,Pet Supplies,"$49,605.15","1,985",$24.99,N.A.,N.A.,"3,949",551.68,7,1,09/18/2022,Amazon,4.3,N.A.,N.A.,N.A.
B0CC24KZPR,1 Pack 3 Blankets Super Soft Cute Dot Pattern Pet Blanket Flannel Throw for Dog Puppy Cat Beige/Brown/Pink Medium,Luciphia,Pet Supplies,"$33,441.39","1,761",$18.99,$6.62,$12.37,"5,704",5045.125,6,1,06/17/2019,Amazon,4.5,"3.60"" x 7.50"" x 11.00""",Large standard-size,0.7496 lbs
B0B3CZSDSW,1 Pack 3 Blankets Super Soft Fluffy Cute Bone Pattern Pet Blanket Flannel Throw for Dog Puppy Cat Pink/Brown/Purple Large,Luciphia,Pet Supplies,"$60,031.40","2,860",$18.99,$23.80,-$4.81,"3,430",3612.928571,6,2,06/10/2019,Amazon,4.4,"41.00"" x 31.00"" x 0.01""",Medium oversize,1 lbs
B08CHF6FRY,1 Pack 3 Blankets Super Soft Fluffy Premium Cute Elephant Pattern Pet Blanket Flannel Throw for Dog Puppy Cat Blue Large(41x31 inch),Luciphia,Pet Supplies,"$42,707.91","1,709",$17.99,$24.40,-$6.41,"3,972",6347.363636,6,1,07/15/2020,Amazon,4.5,"41.00"" x 31.00"" x 1.00""",Medium oversize,1 lbs
B08CGKHTT5,1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Paw Brown Large(41x31 inch),Luciphia,Pet Supplies,"$131,122.53","5,247",$19.99,$16.92,$3.07,"1,706",10559.5,6,1,08/15/2021,Amazon,4.4,"41.00"" x 31.00"" x 0.04""",Medium oversize,8 lbs
B0C4F686JM,"1 Pack 3 Dog Blanket Super Soft Warm Sleep Mat Pet Blanket Grey Paw Pattern Fluffy Puppy Blanket for Small Dogs Kitten Cats-Grey Large(40""x30"")",SORKUT,Pet Supplies,"$25,464.81","1,019",$18.99,N.A.,N.A.,"7,062",1558.4375,6,1,09/11/2022,Amazon,4.5,N.A.,N.A.,N.A.
B092T9GRS2,"1 Pack 3 Puppy Blankets Cat Dog Blankets Super Soft Warm Sleep Mat Grey Star Cute Print Blanket Fluffy Fleece Pet Blanket Flannel Throw for Small Dogs Puppy Dogs Cats Large(40""x30"")",SORKUT,Pet Supplies,"$70,821.66","2,834",$18.99,$10.18,$8.81,"3,217",1666.904762,6,1,11/06/2021,Amazon,4.4,"3.78"" x 9.45"" x 12.48""",Large standard-size,1.3206 lbs
B0B687136B,"1 Pack 6 Blankets Dog Cat Soft Fluffy Fleece Pet Blanket Warm Cute Print Design Puppy Kitten Blanket Doggy Bone Large(41""x31"")",Luciphia,Pet Supplies,"$39,016.99","1,301",$23.99,$25.15,-$1.16,"5,549",418.375,6,1,07/10/2022,Amazon,4.6,"41.00"" x 31.00"" x 0.20""",Medium oversize,1 lbs
B0BH7HLYWR,10 Count Fresh Kitty Litter Box Liners Super Thick  Durable  Easy Clean Up Jumbo Drawstring Scented  Bags for Pet Cats,Fresh Kitty,Pet Supplies,"$62,009.76","5,287",$11.73,$6.86,$4.87,N.A.,3165,4,1,08/22/2012,Amazon.com,4.1,"9.50"" x 4.00"" x 4.00""",Large standard-size,1.4 lbs
B0C8JGCD2M,10 Pieces Service Dog Patches Ask to Do Not Pet Patch Vest Removable Tactical Pet in Training Hook and Loop Harness American Flag Patch Set (Delicate Style),WILLBOND,Pet Supplies,"$23,771.34","2,266",$10.49,$4.42,$6.07,N.A.,893,6,1,04/08/2021,Amazon,4.65,"9.84"" x 9.84"" x 0.39""",Small standard-size,0.3307 lbs
B09HGZQ1DM,100 Pieces Paw Print Cone Cellophane Bags Heat Sealable Dog Gift Cat Candy Bags with 100 Pieces Silver Twist Ties for Pet Treat Party Favor (Black),Blulu,Pet Supplies,"$11,281.88","1,412",$7.99,$4.12,$3.87,"6,198",4207,6,1,03/19/2019,Amazon,4.8,"11.42"" x 6.69"" x 0.28""",Small standard-size,5.29 lbs
B07DQTF6XB,100% Natural Glucosamine for Cats - Msm Arthritis Pain Relief for Cats - Cat Hip and Joint Supplement Liquid - 260mg Glucosamine Chondroitin for Cats,Paramount Pet Health,Pet Supplies,"$32,388.46","1,118",$28.97,$7.89,$21.08,"8,094",1301,7,1,08/22/2018,Amazon,4.4,"1.50"" x 1.50"" x 4.75""",Large standard-size,4.66 lbs
B07SGZQ965,1000 Pet Waste Disposal Dog Poop Bags  EZ Pickup Bags Green (single roll  not on small rolls),EZ,Pet Supplies,"$26,648.40","1,272",$21.27,$9.57,$11.70,"5,479",1900,5,2,05/30/2015,Amazon,4.65,"8.80"" x 4.90"" x 4.90""",Large standard-size,3.4 lbs
